Date,Amundi Physical Gold ETC (C)
1978-11,10000
1978-12,10000
1979-01,10484.104545863225
1979-02,11327.400700895063
1979-03,10818.740949486217
1979-04,11175.702821808647
1979-05,12648.274284224144
1979-06,12632.176444547516
1979-07,13010.783432327366
1979-08,13870.674709747092
1979-09,17297.562384658522
1979-10,16704.256561052312
1979-11,18102.097530265637
1979-12,22309.323163723537
1980-01,27527.152191139423
1980-02,27100.841694187064
1980-03,22153.474827742917
1980-04,23483.697619763207
1980-05,23225.003752305896
1980-06,27927.54756014547
1980-07,25924.192593446074
1980-08,27170.321098360215
1980-09,28630.05041024574
1980-10,27688.15755484497
1980-11,28236.718515391894
1980-12,27704.53849631553
1981-01,23874.219143105824
1981-02,24618.38432916653
1981-03,25880.63454850118
1981-04,24963.837643703082
1981-05,26295.62664583597
1981-06,24267.490644410354
1981-07,23831.751789162867
1981-08,25622.91632419497
1981-09,24674.296885216434
1981-10,23844.68953929008
1981-11,22897.146926615747
1981-12,22399.19872815631
1982-01,22001.48464494742
1982-02,21300.30152842007
1982-03,19139.989083786153
1982-04,21940.27635248181
1982-05,19078.431643260443
1982-06,19704.29687003166
1982-07,21736.591465997633
1982-08,26244.394993417958
1982-09,25555.68873245238
1982-10,27567.30745605428
1982-11,28872.251356783767
1982-12,28444.529656671104
1983-01,31489.692518964624
1983-02,26223.828391812778
1983-03,26757.91776577608
1983-04,28091.10171051079
1983-05,28808.08712815894
1983-06,28230.105072197246
1983-07,29024.205143116855
1983-08,29413.412653948915
1983-09,28773.204750761095
1983-10,26690.567059835117
1983-11,29052.525160059064
1983-12,28058.528344828603
1984-01,28103.550855831854
1984-02,28734.07598106099
1984-03,27304.388846090813
1984-04,26877.026809649764
1984-05,28499.58146615803
1984-06,27661.92792181561
1984-07,26341.876624631164
1984-08,27096.15176024781
1984-09,28008.526817291768
1984-10,27666.09436320087
1984-11,26577.630319212094
1984-12,25888.897507536618
1985-01,26377.936026829906
1985-02,25674.14712407973
1985-03,29443.338953639166
1985-04,26748.201290321475
1985-05,26318.14750259867
1985-06,26167.668391486637
1985-07,25654.517504715706
1985-08,25208.333903759853
1985-09,25039.694335235417
1985-10,23453.5063356176
1985-11,23013.59082993669
1985-12,22587.8091781812
1986-01,23711.226908847355
1986-02,21975.313854745353
1986-03,21738.784469489925
1986-04,21964.089483141022
1986-05,21422.28673929138
1986-06,21731.23005061869
1986-07,21748.515590633895
1986-08,22701.39226947527
1986-09,24778.716562214886
1986-10,23218.50000442335
1986-11,22784.106136456034
1986-12,22541.28091000795
1987-01,21709.433201184238
1987-02,21611.448444370606
1987-03,22381.82415870545
1987-04,23782.655097383344
1987-05,23378.298770338693
1987-06,23602.418351306325
1987-07,24757.597013075672
1987-08,24458.897238716934
1987-09,24141.8797026425
1987-10,24452.324906131114
1987-11,24136.30646292285
1987-12,23117.60676140556
1988-01,21991.62176025246
1988-02,21053.16449016053
1988-03,22268.322795205586
1988-04,21749.37346487612
1988-05,22280.627774787463
1988-06,22145.994270166266
1988-07,23274.16003416813
1988-08,23301.633184706632
1988-09,21451.624275676273
1988-10,21747.653590284754
1988-11,21401.32782604735
1988-12,20790.95732404403
1989-01,20762.137198033404
1989-02,20644.409239103537
1989-03,20576.286789934824
1989-04,20383.41588406223
1989-05,20370.00968748029
1989-06,21377.210348946766
1989-07,20185.261362397414
1989-08,20022.425160739796
1989-09,20705.951298814318
1989-10,20402.77168621838
1989-11,21868.811816461195
1989-12,20599.247749723276
1990-01,20694.14579339735
1990-02,20056.459361222787
1990-03,18443.497446209232
1990-04,18168.419881962196
1990-05,17641.534118675372
1990-06,17228.09551748028
1990-07,17659.649237506914
1990-08,17581.237396858764
1990-09,18546.2408258937
1990-10,16726.579990151753
1990-11,16624.912299570213
1990-12,17088.29086300335
1991-01,16033.36085543487
1991-02,15622.609309756379
1991-03,16671.98085135763
1991-04,17662.35623140928
1991-05,18029.056483816643
1991-06,19111.82958683727
1991-07,18848.60178708319
1991-08,17646.642870143685
1991-09,17528.03432254598
1991-10,17628.482660357593
1991-11,17387.077476115854
1991-12,16239.907522321064
1992-01,16384.69905223608
1992-02,16697.12833420219
1992-03,16587.91580094563
1992-04,16178.870291788775
1992-05,15921.867193521348
1992-06,15734.606034700872
1992-07,15614.742221641376
1992-08,14459.814560122817
1992-09,15183.653928381143
1992-10,15371.521676220927
1992-11,16132.823847402293
1992-12,16057.66114346366
1993-01,16248.779144092154
1993-02,16507.964250290563
1993-03,17103.680017000224
1993-04,17326.605193295647
1993-05,18502.075032764118
1993-06,19090.155213357924
1993-07,21122.600221238612
1993-08,19681.41652741437
1993-09,18080.083611008675
1993-10,19015.590084932945
1993-11,19592.59383793802
1993-12,20624.286499454436
1994-01,20219.1050127344
1994-02,20333.342754190475
1994-03,20309.669157717315
1994-04,19698.75081431217
1994-05,19843.828023324306
1994-06,19551.857759411214
1994-07,18739.402639454634
1994-08,18844.0881891366
1994-09,19079.57498706612
1994-10,18191.18060314048
1994-11,18423.335470185415
1994-12,18768.380953896976
1995-01,18017.15709656566
1995-02,17888.988125096435
1995-03,17904.238496663053
1995-04,17458.65124866903
1995-05,17478.312139841844
1995-06,17454.326942384152
1995-07,17084.409221669222
1995-08,17553.627759370826
1995-09,17853.361603257057
1995-10,17511.606382907255
1995-11,17783.45398138222
1995-12,18011.62443421136
1996-01,19116.701482396697
1996-02,18991.85841153266
1996-03,18773.66528290827
1996-04,18690.150306015876
1996-05,18878.278788976266
1996-06,18319.43460110303
1996-07,18194.634735732543
1996-08,18081.223989870912
1996-09,17884.08748620536
1996-10,17961.15283085776
1996-11,17345.270275049854
1996-12,17643.440869007438
1997-01,16941.670028923247
1997-02,18348.01986722391
1997-03,18017.81509523707
1997-04,17697.31220139289
1997-05,17923.597746379888
1997-06,17543.21171563734
1997-07,17587.170469143293
1997-08,18031.189138094735
1997-09,17920.308815905853
1997-10,16496.088788483044
1997-11,15397.038700294253
1997-12,15405.637799566977
1998-01,16610.90866632771
1998-02,16167.187201416811
1998-03,16421.175978199088
1998-04,16833.519214333242
1998-05,15662.67264028353
1998-06,15919.542564397349
1998-07,15553.995916414391
1998-08,14660.064484640865
1998-09,15019.705578094667
1998-10,14386.678303886594
1998-11,14922.714517514953
1998-12,14460.870514467628
1999-01,14825.106901604515
1999-02,15404.27604358048
1999-03,15379.814789989414
1999-04,15987.22805881226
1999-05,15183.195862711655
1999-06,14934.540041227141
1999-07,14123.126246928485
1999-08,14238.279652336774
1999-09,16562.2749026809
1999-10,16901.759969509385
1999-11,17042.185851883783
1999-12,17061.902854529464
2000-01,17084.950468248684
2000-02,17847.36647632841
2000-03,17101.469744263773
2000-04,17869.827191003787
2000-05,17271.193017143676
2000-06,17793.740954917783
2000-07,17666.266692241687
2000-08,18349.106468725106
