Date,Lyxor PEA Monde (MSCI World) UCITS ETF - Capi
1978-11,10000
1978-12,10000
1979-01,10408.118863153853
1979-02,10267.385448706216
1979-03,10703.585722738755
1979-04,10816.935267943445
1979-05,10756.890375140742
1979-06,10947.714724987214
1979-07,10644.263814521133
1979-08,11114.994619669831
1979-09,11251.989786305692
1979-10,10468.984306157321
1979-11,10757.91475756451
1979-12,10807.890226352725
1980-01,11355.865916180563
1980-02,11477.300130061049
1980-03,10796.684008437553
1980-04,11653.466226724802
1980-05,11709.58739118438
1980-06,12103.314333516426
1980-07,12331.863879116907
1980-08,12834.880071753847
1980-09,13201.127804519749
1980-10,13940.442411677328
1980-11,15044.7642832931
1980-12,15193.564714643551
1981-01,14809.647677560895
1981-02,15878.59001745741
1981-03,16469.23464294249
1981-04,16927.927815649724
1981-05,17623.95584869617
1981-06,18283.751196329547
1981-07,18535.693667870586
1981-08,18680.498641447066
1981-09,16506.48779755197
1981-10,16523.569932820457
1981-11,17575.789774250814
1981-12,17454.20840081651
1982-01,17475.99828668123
1982-02,16977.025711117047
1982-03,16827.480125836035
1982-04,17940.91891842865
1982-05,16899.39634106794
1982-06,17087.653324167175
1982-07,17243.4618108456
1982-08,18620.941681493063
1982-09,18895.911302192024
1982-10,20446.471777558185
1982-11,21903.090195682726
1982-12,21956.26535406815
1983-01,22278.325614704
1983-02,23175.667243410888
1983-03,24123.9087460377
1983-04,26230.674540073043
1983-05,26147.26292321961
1983-06,27806.8398558681
1983-07,27693.122755487893
1983-08,28757.289533360497
1983-09,29371.04712025437
1983-10,28559.90296358531
1983-11,30094.192968356074
1983-12,31264.796418124228
1984-01,32244.89254919196
1984-02,30752.97481357435
1984-03,31062.590205424593
1984-04,31507.174431439616
1984-05,30238.341044784105
1984-06,30505.552306544098
1984-07,30556.140110327477
1984-08,34013.82284081088
1984-09,35498.46804487457
1984-10,36542.61455280857
1984-11,35464.647185604335
1984-12,37647.42265039192
1985-01,40705.8930716717
1985-02,42316.17420306258
1985-03,43894.77860809716
1985-04,40754.733294643316
1985-05,43158.116825212535
1985-06,43171.12442792775
1985-07,41920.543310645175
1985-08,40820.68241838797
1985-09,41799.93803661164
1985-10,41349.3220027849
1985-11,42822.688923856826
1985-12,43775.679559748954
1986-01,43511.480064534284
1986-02,45571.01153510053
1986-03,48649.051774850814
1986-04,50252.09755738661
1986-05,49235.439330703455
1986-06,51419.441302628205
1986-07,50314.3816081439
1986-08,53070.495422710235
1986-09,50564.62823043773
1986-10,49144.810711477214
1986-11,51750.532351208094
1986-12,52032.045990901446
1987-01,54655.535603379445
1987-02,55459.75394707459
1987-03,58796.36578533675
1987-04,61430.50570137229
1987-05,60767.45734046575
1987-06,61817.540615974045
1987-07,63960.51600218809
1987-08,68262.90843575056
1987-09,65319.39684019662
1987-10,53829.023159285774
1987-11,49342.03893882369
1987-12,49912.41717368135
1988-01,51664.378200972686
1988-02,56239.17164421754
1988-03,57146.83382085433
1988-04,57516.20330077046
1988-05,56915.57500633948
1988-06,58942.308866400694
1988-07,63070.34815050603
1988-08,60933.60254263043
1988-09,63049.602505638075
1988-10,65574.42906452202
1988-11,65159.84410259673
1988-12,65807.6541019668
1989-01,70881.09685609017
1989-02,71296.45076719158
1989-03,71299.66697356071
1989-04,73337.23969382593
1989-05,74598.70538370137
1989-06,75073.33503601077
1989-07,79899.33514171117
1989-08,79156.15619792034
1989-09,82624.47840246433
1989-10,76845.65407173331
1989-11,78754.7568751842
1989-12,77925.66624204251
1990-01,72094.4773509453
1990-02,68075.74152971565
1990-03,65072.92810156306
1990-04,63302.522482047505
1990-05,68815.84033784324
1990-06,68774.38062672898
1990-07,67292.56780260251
1990-08,58296.33869940544
1990-09,52225.12133308221
1990-10,55418.42558871858
1990-11,53420.151898720236
1990-12,55174.3183969896
1991-01,57324.43339285985
1991-02,61578.163335914476
1991-03,65036.8862419302
1991-04,69026.6434520848
1991-05,71521.08750238709
1991-06,69593.82680878964
1991-07,72961.51879662827
1991-08,71114.14555787548
1991-09,70950.9550659988
1991-10,71991.59519265908
1991-11,66263.70966875972
1991-12,68816.76054137264
1992-01,68004.35300409562
1992-02,68292.76046138615
1992-03,66801.67106117478
1992-04,67108.69162142012
1992-05,68431.22393252641
1992-06,64232.468920479296
1992-07,61320.2799178882
1992-08,61215.891188865244
1992-09,62044.52309029608
1992-10,62863.21426348976
1992-11,68168.92152490001
1992-12,68662.30187481025
1993-01,70224.59443956162
1993-02,73666.18378474073
1993-03,78306.77933525771
1993-04,79132.37785727985
1993-05,81139.24434013118
1993-06,82789.49746486497
1993-07,88061.46294907223
1993-08,92783.45776422508
1993-09,87427.81271193543
1993-10,90873.29978159895
1993-11,88015.92845544584
1993-12,92263.93021826963
1994-01,99663.7572273255
1994-02,97974.21591616022
1994-03,91791.48358625818
1994-04,94885.16342151133
1994-05,93065.15046878144
1994-06,91280.90411394511
1994-07,90130.99311446272
1994-08,92933.82835377169
1994-09,89503.44554419901
1994-10,90272.67181530311
1994-11,87623.92830628292
1994-12,90265.7655820773
1995-01,87075.99570763741
1995-02,87362.52371543356
1995-03,87999.3870561975
1995-04,89307.99191334398
1995-05,91447.45350227156
1995-06,90639.84454829445
1995-07,94052.61140542822
1995-08,94723.63759090258
1995-09,98716.44546159451
1995-10,95631.75314644429
1995-11,99148.44752087205
1995-12,103644.95043298988
1996-01,106780.83208910306
1996-02,108028.1644837205
1996-03,109735.00693344492
1996-04,113251.8674985374
1996-05,114702.88250715558
1996-06,114366.27148674495
1996-07,108625.70313731342
1996-08,108858.00250311063
1996-09,114080.09302923082
1996-10,115211.74473697068
1996-11,120083.50296394459
1996-12,120751.38601202481
1997-01,125506.553167708
1997-02,132456.37345313118
1997-03,131316.85465104273
1997-04,136320.83820438245
1997-05,144264.9933294525
1997-06,153131.4338564038
1997-07,164607.39415716272
1997-08,157939.88951705798
1997-09,162118.32457200898
1997-10,150761.60545941038
1997-11,150238.82512506392
1997-12,156140.63183344426
1998-01,164150.17324114477
1998-02,174832.69411577622
1998-03,182848.01624677825
1998-04,183342.91359774495
1998-05,178245.50241435482
1998-06,183760.12179927732
1998-07,183857.09458766744
1998-08,158646.93132380085
1998-09,153887.30432080786
1998-10,161568.09971785487
1998-11,176095.06512176766
1998-12,183480.02637536378
1999-01,193582.0672352653
1999-02,194647.05234022974
1999-03,207917.19334552524
1999-04,219022.10281370865
1999-05,213812.10537767853
1999-06,226508.32536876216
1999-07,218045.18299224944
1999-08,220098.09759790765
1999-09,216030.5495228665
1999-10,231818.2422120136
1999-11,246687.57568274258
1999-12,267947.39489684283
2000-01,259112.64214765452
2000-02,261806.27622350617
2000-03,284554.23447012523
2000-04,286488.6065479504
2000-05,272619.14485169156
2000-06,274272.5173869154
2000-07,275509.7685165127
2000-08,295168.75850406656
